Center: x=250, y=250
Point 75: x=332.201, y=432.327
Point 76: x=380.751, y=98.659
Point 77: x=87.372, y=133.586
Point 78: x=100.752, y=116.864
Point 79: x=177.502, y=436.398
Point 80: x=55.982, y=298.548
Point 81: x=176.34, y=64.059
Point 82: x=441.997, y=306.011
Point 83: x=107.943, y=390.783
Point 84: x=159.917, y=428.564
Point 85: x=427.998, y=341.196
Point 86: x=442.26, y=305.102
Point 87: x=231.71, y=50.838
Point 88: x=276.715, y=448.208
Point 89: x=261.705, y=449.657
Point 90: x=342.895, y=72.883
Point 91: x=87.111, y=133.952
Point 92: x=113.898, y=396.547
Point 93: x=377.279, y=404.273
Point 94: x=394.758, y=388.004
Point 95: x=431.044, y=334.99
Point 96: x=221.855, y=51.99
Point 97: x=389.524, y=393.294
Point 98: x=300.434, y=443.537
Point 99: x=398.019, y=384.5
Point 100: x=56.787, y=301.661
Point 101: x=446.849, y=214.637
Point 102: x=212.474, y=53.552
Point 103: x=89.553, y=130.598
Point 104: x=327.459, y=65.609
Point 105: x=260.688, y=449.714
Point 106: x=209.726, y=445.903
Point 107: x=53.761, y=211.394
Point 108: x=62.5, y=180.403
Point 109: x=54.135, y=290.461
Point 110: x=225.704, y=448.519
Point 111: x=446.852, y=285.343
Point 112: x=100.291, y=382.617
Point 113: x=429.908, y=337.368
Point 114: x=57.432, y=195.985
Point 115: x=75.41, y=152.437
Point 116: x=432.32, y=332.215
Point 117: x=90.258, y=370.343
Point 118: x=350.74, y=77.224
Point 119: x=64.365, y=175.571
Point 120: x=448.914, y=270.817
Point 121: x=64.516, y=175.197
Point 122: x=429.231, y=161.252
Point 123: x=398.361, y=384.123
Point 124: x=402.235, y=379.709
Point 125: x=411.783, y=132.415
Point 126: x=174.922, y=64.627
Point 127: x=416.33, y=361.06
Point 128: x=424.22, y=348.221
Point 129: x=202.013, y=55.842
Point 130: x=63.171, y=178.623
Point 131: x=400.53, y=381.684
Point 132: x=443.739, y=299.651
Point 133: x=50.054, y=254.649
Point 134: x=159.971, y=428.591
Point 135: x=425.36, y=153.828
Point 136: x=132.035, y=411.506
Point 137: x=50.287, y=239.296
Point 138: x=434.69, y=326.743
Point 139: x=158.358, y=72.231
Point 140: x=424.528, y=347.672
Point 141: x=346.839, y=75.008
Point 142: x=227.14, y=448.689
Point 143: x=315.853, y=61.153
Point 144: x=447.902, y=278.89
Point 145: x=107.547, y=390.382
Point 146: x=108.119, y=390.96
Point 147: x=444.621, y=203.93
Point 148: x=393.508, y=110.696
Point 149: x=129.02, y=409.261
Point 150: x=80.764, y=356.579
Point 151: x=146.533, y=421.157
Point 152: x=211.234, y=53.793
Point 153: x=374.347, y=93.354
Point 154: x=152.585, y=424.672
Point 155: x=50.755, y=232.637
Point 156: x=240.078, y=50.246
Point 157: x=58.646, y=308.169
Point 158: x=108.358, y=391.2
Point 159: x=88.082, y=367.399
Point 160: x=67.35, y=168.52
Point 161: x=156.523, y=73.189
Point 162: x=249.305, y=449.999
Point 163: x=68.922, y=165.085
Point 164: x=235.073, y=50.558
Point 165: x=91.255, y=371.655
Point 166: x=369.265, y=410.549
Point 167: x=50.005, y=251.377
Point 168: x=76.521, y=349.523
Point 169: x=345.485, y=425.734
Point 170: x=95.925, y=122.482
Point 171: x=442.983, y=302.511
Point 172: x=427.983, y=341.225
Point 173: x=449.825, y=241.646
Point 174: x=144.175, y=80.291
Point 175: x=376.749, y=404.708
Point 176: x=447.07, y=215.894
Point 177: x=305.609, y=442.114
Point 178: x=406.737, y=125.768
Point 179: x=266.62, y=50.692
Point 180: x=413.318, y=365.443
Point 181: x=448.842, y=271.494
Point 182: x=106.774, y=110.407
Point 183: x=352.875, y=78.487
Point 184: x=284.827, y=446.944
Point 185: x=50.032, y=253.599
Point 186: x=302.057, y=443.106
Point 187: x=374.578, y=93.538
Point 188: x=173.18, y=65.342
Point 189: x=62.23, y=318.865
Point 190: x=91.762, y=127.686
Point 191: x=254.891, y=449.94
Point 192: x=51.851, y=277.15
Point 193: x=77.064, y=149.536
Point 194: x=447.756, y=279.873
Point 195: x=273.881, y=51.431
Point 196: x=109.755, y=107.412
Point 197: x=114.676, y=397.266
Point 198: x=351.624, y=77.743
Point 199: x=147.38, y=421.666
Point 200: x=397.047, y=385.562
Point 201: x=68.41, y=166.185
Point 202: x=197.079, y=442.871
Point 203: x=346.623, y=425.111
Point 204: x=446.46, y=212.536
Point 205: x=82.772, y=359.703
Point 206: x=385.908, y=103.272
Point 207: x=358.481, y=418.023
Point 208: x=50.306, y=238.941
Point 209: x=257.256, y=449.868
Point 210: x=125.101, y=406.206
Point 211: x=391.747, y=391.095
Point 212: x=171.325, y=66.124
Point 213: x=202.794, y=444.349
Point 214: x=449.662, y=261.615
Point 215: x=195.161, y=57.665
Point 216: x=60.102, y=187.239
Point 217: x=51.1, y=270.948
Point 218: x=54.488, y=292.13
Point 219: x=71.922, y=158.959
Point 220: x=133.521, y=412.581
Point 221: x=90.479, y=129.364
Point 222: x=402.6, y=379.28
Point 223: x=145.062, y=420.259
Point 224: x=422.739, y=350.803
Point 225: x=312.219, y=440.076
Point 226: x=68.063, y=333.059
Point 227: x=437.236, y=320.304
Point 228: x=264.437, y=449.478
Point 229: x=50.27, y=260.387
Point 230: x=186.862, y=439.772
Point 231: x=354.485, y=420.537
Point 232: x=53.277, y=213.942
Point 233: x=57.026, y=197.455
Point 234: x=76.334, y=349.197
Point 235: x=89.564, y=130.584
Point 236: x=104.668, y=387.399
Point 237: x=70.345, y=337.887
Point 238: x=189.74, y=59.294
Point 239: x=120.521, y=402.431
Point 240: x=371.142, y=90.863
Point 241: x=369.412, y=410.439
Point 242: x=434.04, y=171.711
Point 243: x=428.186, y=159.172
Point 244: x=305.52, y=57.861
Point 245: x=104.034, y=113.275
Point 246: x=368.759, y=410.923
Point 247: x=445.886, y=209.645
Point 248: x=50.322, y=261.352
Point 249: x=227.04, y=51.322
Point 250: x=50.085, y=255.832
Point 251: x=242.419, y=449.856
Point 252: x=400.843, y=118.674
Point 253: x=449.588, y=237.175
Point 254: x=89.352, y=130.869
Point 255: x=220.693, y=447.841
Point 256: x=427.48, y=157.801
Point 257: x=441.273, y=308.435
Point 258: x=449.783, y=259.321
Point 259: x=364.848, y=86.263
Point 260: x=151.109, y=76.159
Point 261: x=158.298, y=427.738
Point 262: x=123.009, y=95.49
Point 263: x=114.852, y=397.428
Point 264: x=86.559, y=365.269
Point 265: x=278.026, y=448.027
Point 266: x=102.438, y=385.001
Point 267: x=55.231, y=204.558
Point 268: x=449.716, y=239.353
Point 269: x=353.575, y=421.091
Point 270: x=310.824, y=59.473
Point 271: x=158.166, y=72.331
Point 272: x=397.632, y=384.925
Point 273: x=66.814, y=169.732
Point 274: x=430.646, y=164.168
Point 275: x=61.97, y=181.849
Point 276: x=195.81, y=442.519
Point 277: x=58.068, y=306.233
Point 278: x=318.139, y=438.035
Point 279: x=379.257, y=97.381
Point 280: x=50.266, y=239.697
Point 281: x=345.677, y=74.37
Point 282: x=195.567, y=57.55
Point 283: x=51.779, y=276.617
Point 284: x=145.583, y=79.422
Point 285: x=64.51, y=324.791
Point 286: x=215.637, y=447.026
Point 287: x=202.443, y=55.736
Point 288: x=112.921, y=104.366
Point 289: x=285.051, y=53.095
Point 290: x=87.01, y=365.907
Point 291: x=388.019, y=105.256
Point 292: x=416.965, y=360.104
Point 293: x=420.275, y=145.089
Point 294: x=174.364, y=435.146
Point 295: x=403.758, y=122.1
Point 296: x=115.7, y=398.201
Point 297: x=80.973, y=143.09
Point 298: x=240.956, y=50.205
Point 299: x=118.046, y=99.707
Point 300: x=53.703, y=211.695
Point 301: x=209.088, y=445.771
Point 302: x=264.29, y=449.489
Point 303: x=159.572, y=428.39
Point 304: x=215.602, y=52.98
Point 305: x=298.761, y=443.965
Point 306: x=391.176, y=108.334
Point 307: x=225.699, y=448.518
Point 308: x=276.327, y=448.26
Point 309: x=272.451, y=51.264
Point 310: x=53.491, y=287.206
Point 311: x=171.893, y=65.882
Point 312: x=103.045, y=114.338
Point 313: x=319.965, y=62.637
Point 314: x=350.661, y=422.822
Point 315: x=189.831, y=440.735
Point 316: x=186.273, y=439.575
Point 317: x=313.789, y=60.445
Point 318: x=94.665, y=375.98
Point 319: x=277.582, y=51.911
Point 320: x=92.76, y=126.405
Point 321: x=179.44, y=437.14
Point 322: x=70.517, y=161.763
Point 323: x=68.224, y=333.411
Point 324: x=450.0, y=249.962
Point 325: x=208.003, y=54.459
Point 326: x=196.637, y=442.75
Point 327: x=153.469, y=425.162
Point 328: x=218.408, y=447.489
Point 329: x=50.279, y=260.555
Point 330: x=50.249, y=259.971
Point 331: x=139.076, y=83.579
Point 332: x=310.223, y=440.718
Point 333: x=349.858, y=76.713
Point 334: x=154.763, y=425.869
Point 335: x=447.646, y=280.598
Point 336: x=60.646, y=185.618
Point 337: x=80.732, y=143.471
Point 338: x=169.562, y=433.111
Point 339: x=52.931, y=284.116
Point 340: x=128.044, y=408.514
Point 341: x=56.557, y=300.792
Point 342: x=95.591, y=377.114
Point 343: x=309.651, y=59.103
Point 344: x=448.984, y=270.137
Point 345: x=119.963, y=98.045
Point 346: x=272.371, y=448.745
Point 347: x=383.004, y=399.365
Point 348: x=74.836, y=346.527
Point 349: x=54.518, y=292.271
Point 350: x=449.924, y=255.523
Point 351: x=74.717, y=346.311
Point 352: x=446.525, y=287.12
Point 353: x=163.24, y=69.798
Point 354: x=420.716, y=354.192
Point 355: x=431.373, y=334.285
Point 356: x=98.626, y=119.287
Point 357: x=104.951, y=112.302
Point 358: x=157.486, y=72.683
Point 359: x=50.637, y=234.044
Point 360: x=309.163, y=441.049
Point 361: x=446.551, y=286.984
Point 362: x=112.703, y=104.571
Point 363: x=97.146, y=378.979
Point 364: x=57.916, y=305.711
Point 365: x=59.802, y=311.845
Point 366: x=133.529, y=87.413
Point 367: x=264.16, y=449.498
Point 368: x=199.824, y=56.396
Point 369: x=155.973, y=426.519
Point 370: x=441.212, y=308.635
Point 371: x=274.442, y=51.499
Point 372: x=80.168, y=355.628
Point 373: x=321.643, y=436.728
Point 374: x=70.21, y=162.39
Point 375: x=440.46, y=311.033
Point 376: x=257.193, y=449.871
Point 377: x=406.234, y=125.137
Point 378: x=389.405, y=106.591
Point 379: x=435.01, y=325.97
Point 380: x=105.242, y=111.996
Point 381: x=218.768, y=52.454
Point 382: x=283.584, y=447.16
Point 383: x=393.134, y=110.312
Point 384: x=67.342, y=168.537
Point 385: x=69.333, y=164.213
Point 386: x=158.634, y=427.911
Point 387: x=265.566, y=449.393
Point 388: x=72.258, y=158.306
Point 389: x=87.58, y=366.704
Point 390: x=77.931, y=148.057
Point 391: x=192.915, y=58.32
Point 392: x=172.518, y=434.382
Point 393: x=444.531, y=296.451
Point 394: x=122.714, y=95.733
Point 395: x=416.062, y=361.461
Point 396: x=174.33, y=435.132
Point 397: x=404.518, y=376.981
Point 398: x=143.244, y=80.875
Point 399: x=210.133, y=445.986
Point 400: x=438.777, y=183.946
Point 401: x=65.357, y=326.858
Point 402: x=180.477, y=62.473
Point 403: x=50.11, y=243.38
Point 404: x=127.943, y=408.436
Point 405: x=428.377, y=340.453
Point 406: x=429.559, y=161.917
Point 407: x=413.537, y=365.133
Point 408: x=299.758, y=443.712
Point 409: x=447.306, y=282.718
Point 410: x=52.723, y=217.112
Point 411: x=449.737, y=260.249
Point 412: x=198.496, y=443.255
Point 413: x=74.772, y=153.589
Point 414: x=274.655, y=51.526
Point 415: x=122.202, y=403.843
Point 416: x=407.982, y=372.644
Point 417: x=449.945, y=254.683
Point 418: x=325.657, y=64.862
Point 419: x=50.702, y=266.743
Point 420: x=432.928, y=169.147
Point 421: x=63.401, y=321.977
Point 422: x=449.563, y=263.214
Point 423: x=272.833, y=448.692
Point 424: x=424.58, y=347.58
Point 425: x=238.594, y=449.674
Point 426: x=419.08, y=143.173
Point 427: x=425.961, y=154.932
Point 428: x=174.06, y=435.022
Point 429: x=88.69, y=368.233
Point 430: x=55.058, y=294.694
Point 431: x=189.229, y=59.456
Point 432: x=110.859, y=106.335
Point 433: x=299.281, y=56.167
Point 434: x=78.061, y=352.161
Point 435: x=449.93, y=255.279
Point 436: x=410.056, y=130.075
Point 437: x=110.724, y=393.534
Point 438: x=326.159, y=65.068
Point 439: x=253.686, y=449.966
Point 440: x=443.532, y=300.453
Point 441: x=448.846, y=271.458
Point 442: x=105.595, y=111.626
Point 443: x=449.421, y=234.794
Point 444: x=239.892, y=50.256
Point 445: x=430.51, y=163.883
Point 446: x=307.318, y=441.611
Point 447: x=218.474, y=447.5
Point 448: x=265.023, y=449.435
Point 449: x=405.763, y=124.549
Point 450: x=205.11, y=444.897
Point 451: x=265.981, y=449.36
Point 452: x=397.908, y=115.378
Point 453: x=143.144, y=80.939
Point 454: x=378.974, y=97.142
Point 455: x=392.27, y=390.567
Point 456: x=68.881, y=334.829
Point 457: x=448.536, y=225.845
Point 458: x=339.501, y=428.856
Point 459: x=171.74, y=65.947
Point 460: x=214.279, y=446.784
Point 461: x=185.421, y=439.287
Point 462: x=51.285, y=272.633
Point 463: x=241.405, y=449.815
Point 464: x=142.728, y=81.202
Point 465: x=65.575, y=172.621
Point 466: x=444.427, y=296.885
Point 467: x=52.406, y=280.927
Point 468: x=399.305, y=116.929
Point 469: x=439.326, y=185.535
Point 470: x=98.478, y=380.541
Point 471: x=449.982, y=247.327
Point 472: x=445.881, y=290.382
Point 473: x=114.361, y=103.023
Point 474: x=393.217, y=110.397
Point 475: x=99.909, y=382.184
Point 476: x=349.467, y=76.489
Point 477: x=361.33, y=416.149
Point 478: x=230.707, y=449.067
Point 479: x=199.292, y=443.465
Point 480: x=86.87, y=365.71
Point 481: x=415.624, y=137.89
Point 482: x=78.736, y=353.29
Point 483: x=152.196, y=424.455
Point 484: x=70.911, y=339.034
Point 485: x=307.077, y=58.317
Point 486: x=369.232, y=410.573
Point 487: x=50.03, y=246.517
Point 488: x=373.245, y=92.486
Point 489: x=324.486, y=64.388
Point 490: x=145.381, y=420.455
Point 491: x=369.169, y=89.38
Point 492: x=235.174, y=449.45
Point 493: x=242.226, y=449.849
Point 494: x=240.791, y=449.788
Point 495: x=59.325, y=189.642
Point 496: x=71.925, y=341.046
Point 497: x=73.34, y=343.762
Point 498: x=289.384, y=53.916
Point 499: x=129.673, y=90.246
Point 500: x=267.551, y=50.772
Point 501: x=403.86, y=122.222
Point 502: x=247.671, y=50.014
Point 503: x=375.301, y=405.883
Point 504: x=364.847, y=413.738
Point 505: x=446.547, y=212.996
Point 506: x=430.762, y=164.413
Point 507: x=149.888, y=423.14
Point 508: x=430.333, y=336.487
Point 509: x=439.574, y=186.269
Point 510: x=50.319, y=238.713
Point 511: x=316.203, y=61.275
Point 512: x=128.726, y=90.964
Point 513: x=427.789, y=341.602
Point 514: x=431.891, y=333.16
Point 515: x=298.446, y=55.956
Point 516: x=105.603, y=111.618
Point 517: x=364.798, y=413.773
Point 518: x=277.018, y=51.833
Point 519: x=355.92, y=419.649
Point 520: x=50.458, y=263.528
Point 521: x=62.363, y=180.773
Point 522: x=449.683, y=261.253
Point 523: x=393.948, y=388.849
Point 524: x=133.754, y=412.748
Point 525: x=215.1, y=53.068
Point 526: x=59.521, y=310.972
Point 527: x=398.981, y=116.566
Point 528: x=100.341, y=382.674
Point 529: x=155.957, y=426.51
Point 530: x=423.176, y=350.051
Point 531: x=132.902, y=412.136
Point 532: x=82.278, y=141.053
Point 533: x=363.347, y=85.22
Point 534: x=83.68, y=361.074
Point 535: x=137.922, y=415.646
Point 536: x=289.642, y=53.968
Point 537: x=385.372, y=397.222
Point 538: x=58.358, y=192.788
Point 539: x=435.541, y=324.662
Point 540: x=51.268, y=227.513
Point 541: x=97.57, y=379.481
Point 542: x=98.1, y=119.899
Point 543: x=427.025, y=343.071
Point 544: x=103.54, y=386.197
Point 545: x=433.462, y=329.635
Point 546: x=341.488, y=72.152
Point 547: x=438.123, y=182.105
Point 548: x=52.007, y=278.264
Point 549: x=429.882, y=162.58
Point 550: x=410.854, y=368.853
Point 551: x=187.448, y=439.966
Point 552: x=191.155, y=441.147
Point 553: x=146.725, y=421.272
Point 554: x=200.297, y=56.274
Point 555: x=289.189, y=446.123
Point 556: x=316.699, y=61.45
Point 557: x=440.446, y=311.076
Point 558: x=395.361, y=112.631
Point 559: x=412.535, y=366.543
Point 560: x=363.379, y=414.758
Point 561: x=427.293, y=342.559
Point 562: x=408.342, y=127.821
Point 563: x=162.155, y=429.675
Point 564: x=87.063, y=134.02
Point 565: x=106.521, y=110.666
Point 566: x=67.66, y=332.171
Point 567: x=82.182, y=141.202
Point 568: x=191.652, y=441.3
Point 569: x=69.873, y=336.916
Point 570: x=340.658, y=428.273
Point 571: x=219.282, y=52.373
Point 572: x=449.406, y=234.599
Point 573: x=50.427, y=236.932
Point 574: x=449.132, y=268.61
Point 575: x=88.737, y=368.297
Point 576: x=103.164, y=385.791
Point 577: x=241.056, y=50.2
Point 578: x=120.59, y=402.489
Point 579: x=108.025, y=109.134
Point 580: x=96.337, y=121.986
Point 581: x=434.66, y=173.183
Point 582: x=430.203, y=336.758
Point 583: x=400.123, y=382.148
Point 584: x=155.989, y=426.527
Point 585: x=53.469, y=212.912
Point 586: x=84.325, y=362.035
Point 587: x=340.532, y=428.336
Point 588: x=77.451, y=351.128
Point 589: x=113.12, y=395.821
Point 590: x=139.012, y=416.378
Point 591: x=89.099, y=131.21
Point 592: x=404.877, y=376.543
Point 593: x=211.198, y=53.8
Point 594: x=245.167, y=449.942
Point 595: x=422.07, y=351.941
Point 596: x=379.13, y=402.727
Point 597: x=235.924, y=50.496
Point 598: x=428.506, y=340.198
Point 599: x=326.682, y=434.715
Point 600: x=304.966, y=57.702
Point 601: x=204.844, y=55.164
Point 602: x=211.465, y=53.748
Point 603: x=414.447, y=136.17
Point 604: x=439.349, y=314.397
Point 605: x=163.621, y=69.615
Point 606: x=99.21, y=381.386
Point 607: x=254.391, y=50.048
Point 608: x=323.3, y=63.916
Point 609: x=408.819, y=128.441
Point 610: x=416.87, y=360.247
Point 611: x=236.051, y=449.513
Point 612: x=212.323, y=53.581
Point 613: x=334.571, y=431.24
Point 614: x=173.319, y=65.284
Point 615: x=139.409, y=83.357
Point 616: x=126.69, y=92.536
Point 617: x=395.259, y=387.477
Point 618: x=50.157, y=242.087
Point 619: x=168.078, y=432.452
Point 620: x=101.505, y=116.025
Point 621: x=431.385, y=334.258
Point 622: x=290.719, y=445.811
Point 623: x=256.33, y=449.9
Point 624: x=421.281, y=353.261
Point 625: x=180.218, y=62.569
Point 626: x=338.861, y=429.175
Point 627: x=386.868, y=395.832
Point 628: x=60.35, y=313.504
Point 629: x=72.221, y=341.622
Point 630: x=189.315, y=440.571
Point 631: x=377.592, y=95.986
Point 632: x=82.119, y=358.702
Point 633: x=294.786, y=55.079
Point 634: x=53.876, y=289.183
Point 635: x=244.571, y=449.926
Point 636: x=57.965, y=305.881
Point 637: x=429.258, y=338.693
Point 638: x=444.965, y=294.595
Point 639: x=449.586, y=237.133
Point 640: x=56.335, y=200.059
Point 641: x=50.668, y=266.334
Point 642: x=106.267, y=389.071
Point 643: x=292.125, y=445.513
Point 644: x=50.04, y=246.025
Point 645: x=270.118, y=51.014
Point 646: x=253.212, y=449.974
Point 647: x=163.063, y=69.884
Point 648: x=99.337, y=381.532
Point 649: x=390.951, y=391.89
Point 650: x=51.522, y=225.371
Point 651: x=419.677, y=355.875
Point 652: x=387.985, y=394.776
Point 653: x=359.367, y=82.552
Point 654: x=186.943, y=439.8
Point 655: x=284.604, y=446.984
Point 656: x=143.829, y=80.508
Point 657: x=307.342, y=441.603
Point 658: x=71.233, y=160.32
Point 659: x=283.939, y=52.901
Point 660: x=341.415, y=72.114
Point 661: x=443.558, y=199.649
Point 662: x=449.281, y=266.948
Point 663: x=362.437, y=415.402
Point 664: x=443.736, y=200.337
Point 665: x=375.692, y=405.569
Point 666: x=188.094, y=440.178
Point 667: x=50.077, y=255.554
Point 668: x=83.688, y=138.913
Point 669: x=250.779, y=50.002
Point 670: x=344.604, y=426.211
Point 671: x=267.117, y=50.734
Point 672: x=51.731, y=223.742
Point 673: x=224.105, y=448.317
Point 674: x=430.231, y=163.3
Point 675: x=374.51, y=93.484
Point 676: x=181.856, y=61.967
Point 677: x=71.396, y=340.004
Point 678: x=69.737, y=336.633
Point 679: x=330.287, y=66.822
Point 680: x=267.023, y=449.274
Point 681: x=316.362, y=438.669
Point 682: x=61.971, y=181.844
Point 683: x=276.656, y=51.784
Point 684: x=425.371, y=346.151
Point 685: x=271.657, y=448.824
Point 686: x=151.305, y=423.952
Point 687: x=51.738, y=223.694
Point 688: x=216.408, y=52.841
Point 689: x=68.267, y=333.504
Point 690: x=50.008, y=248.233
Point 691: x=155.993, y=73.47
Point 692: x=359.12, y=82.391
Point 693: x=233.271, y=50.701
Point 694: x=50.516, y=264.356
Point 695: x=145.918, y=79.216
Point 696: x=445.233, y=293.404
Point 697: x=443.729, y=299.691
Point 698: x=369.209, y=410.59
Point 699: x=230.472, y=449.044
Point 700: x=111.267, y=105.941
Point 701: x=435.269, y=174.665
Point 702: x=75.329, y=347.417
Point 703: x=298.568, y=444.013
Point 704: x=59.852, y=311.997
Point 705: x=345.552, y=425.698
Point 706: x=111.084, y=393.883
Point 707: x=400.594, y=118.389
Point 708: x=101.366, y=116.18
Point 709: x=210.847, y=446.13
Point 710: x=415.01, y=363.011
Point 711: x=58.624, y=191.904
Point 712: x=246.164, y=50.037
Point 713: x=65.911, y=171.825
Point 714: x=447.103, y=283.918
Point 715: x=105.681, y=111.537
Point 716: x=50.989, y=269.867
Point 717: x=149.129, y=422.7
Point 718: x=378.384, y=403.354
Point 719: x=97.785, y=379.733
Point 720: x=122.366, y=96.021
Point 721: x=351.165, y=77.473
Point 722: x=421.196, y=353.401
Point 723: x=245.875, y=50.043
Point 724: x=362.772, y=415.174
Point 725: x=184.678, y=60.968
Point 726: x=125.309, y=93.628
Point 727: x=63.706, y=177.236
Point 728: x=56.212, y=200.541
Point 729: x=205.309, y=444.943
Point 730: x=439.139, y=315.011
Point 731: x=81.288, y=142.592
Point 732: x=449.566, y=236.83
Point 733: x=297.108, y=444.373
Point 734: x=440.452, y=311.058
Point 735: x=146.565, y=78.824
Point 736: x=51.252, y=272.347
Point 737: x=130.994, y=410.741
Point 738: x=291.886, y=54.435
Point 739: x=275.058, y=448.424
Point 740: x=93.59, y=125.357
Point 741: x=80.693, y=356.466
Point 742: x=205.701, y=54.968
Point 743: x=66.83, y=169.697
Point 744: x=443.802, y=200.596
Point 745: x=215.989, y=447.087
Point 746: x=271.287, y=448.864
Point 747: x=419.161, y=356.699
Point 748: x=164.894, y=69.011
Point 749: x=191.652, y=441.299
Point 750: x=77.817, y=148.251
Point 751: x=382.991, y=399.377
Point 752: x=229.399, y=448.936
Point 753: x=212.501, y=446.453
Point 754: x=447.067, y=215.871
Point 755: x=57.314, y=196.409
Point 756: x=54.057, y=209.923
Point 757: x=220.778, y=52.146
Point 758: x=95.508, y=377.013
Point 759: x=449.967, y=246.343
Point 760: x=333.699, y=68.356
Point 761: x=69.642, y=336.436
Point 762: x=50.149, y=242.276
Point 763: x=433.582, y=170.643
Point 764: x=426.124, y=344.764
Point 765: x=440.181, y=188.103
Point 766: x=147.174, y=421.542
Point 767: x=423.489, y=349.506
Point 768: x=267.112, y=449.267
Point 769: x=219.443, y=52.348
Point 770: x=428.904, y=160.595
Point 771: x=397.414, y=385.163
Point 772: x=56.913, y=197.872
Point 773: x=134.06, y=87.034
Point 774: x=345.534, y=74.292
Point 775: x=170.101, y=66.653
Point 776: x=412.115, y=367.127
Point 777: x=425.261, y=346.351
Point 778: x=374.791, y=93.708
Point 779: x=270.912, y=51.096
Point 780: x=411.476, y=131.994
Point 781: x=112.78, y=104.499
Point 782: x=54.195, y=290.749
Point 783: x=447.211, y=283.284
Point 784: x=50.812, y=268.001
Point 785: x=218.172, y=52.549
Point 786: x=449.573, y=236.936
Point 787: x=356.538, y=419.262
Point 788: x=356.722, y=419.146
Point 789: x=179.18, y=62.959
Point 790: x=146.262, y=420.993
Point 791: x=435.824, y=323.956
Point 792: x=213.789, y=446.695
Point 793: x=113.505, y=103.818
Point 794: x=72.014, y=341.22
Point 795: x=384.896, y=397.659
Point 796: x=163.749, y=430.446
Point 797: x=111.523, y=394.306
Point 798: x=422.273, y=351.597
Point 799: x=51.341, y=273.122
Point 800: x=60.312, y=313.39
Point 801: x=85.835, y=364.236
Point 802: x=439.074, y=315.2
Point 803: x=393.47, y=389.342
Point 804: x=60.712, y=185.425
Point 805: x=54.655, y=207.101
Point 806: x=290.082, y=445.942
Point 807: x=61.86, y=317.849
Point 808: x=425.644, y=154.348
Point 809: x=429.227, y=161.244
Point 810: x=354.193, y=420.716
Point 811: x=119.472, y=98.467
Point 812: x=192.536, y=58.433
Point 813: x=376.325, y=94.945
Point 814: x=449.672, y=261.454
Point 815: x=287.329, y=53.515
Point 816: x=409.183, y=371.082
Point 817: x=142.068, y=81.623
Point 818: x=134.244, y=413.097
Point 819: x=221.828, y=448.006
Point 820: x=386.645, y=103.958
Point 821: x=309.864, y=440.831
